name;altitude
Allmenalp;1810
Allmend Zürich;420
Allmiboden;1810
Alpe Foppa;1522
Altdorf;437
Amisbüel;1310
Axalp;1700
Balderen;736
Beatenberg;1400
Bepi;837
Bergbo;1270
Bergen Sportplatz;24
Birg;2600
Blumenstein;740
Bodmi;1130
Bort;1580
Brämabüel;2477
Breitlauenen;1570
Brienz Schwanden;570
Büelenhorn;2513
Burgfeldstand;2050
Chalet;1310
Cimetta;1652
Davos Dorf;1562
Davos Platz;1530
Diemtigtal;1100
Eggberge;1600
Eigergletscher;2280
Fiescheralp;2160
First;2120
Flugplatz;1580
Gampel;630
Garden Relais;160
Geissboden;1465
Gimmelen;1940
Gimmelwald;1520
Goldau;477
Grauseeli;2500
Gross Schiahorn;2709
Grindelwald Grund;950
Grütschalp;1660
Gstaad;1050
Gwatt;560
Harder;1450
Hinderrugg;2306
Höckler;473
Höhematte;570
Hohwald;1580
Homberg;1100
Jeizinen;1500
Jungfraujoch;3470
Kandersteg;1180
Kiental, Landeplatz;940
Kleine Schidegg;2120
Langnau Sportplatz;693
Lauchernalp Gandegg;2670
Lauchernalp Hockengrat;3020
Lauchernalp Stafel;2100
Lauterbrunnen;830
Laveygrat;2200
Lehn;560
Lenk;1072
Lenk;1180
Lofthus Camping;50
Lötschental Wiler;1390
Luegibrüggli;1060
Maggia Delta;194
Männlichen;2290
Marbach;880
Marbach Kirche;870
Marbachegg;1466
Maulerhubel;1930
Metschstand;2087
Möntschele;1400
Möntschelenalp;1405
Muottas Muragl;2520
Mürren, Wurmegg;1700
Mürren, Tennisplatz;1610
Niederhorn;1930
Niesen Süd;2270
Niesenkette;2000
Nosi;962
Oberdorf;611
Oberjoch;2350
Oberrieden;575
Ochsenälpli;2020
Oerlimatte;1100
Panettone;1558
Paradiso;184
Piz Scalottas;2310
Plauns;1855
Pohlern;735
Ramslauenen;1400
Rigi Kulm;1781
Ris;596
Rivera;445
Salezer Meder;2055
Schiltgrat;2100
Schilthorn;2940
Schynige Platte;2040
Seehorn;2238
Skiveren Düne;12
Skiveren Strand;1
Splash Tamaro;471
Stechelberg;860
Steffisburg;570
Stivetta;2531
Strelaalp;2104
Surenboden;1500
Tennisplatz Mürren;1650
Ulriken;541
Unterseen;560
Valbella;1493
Verenaweg;498
Vorsass;1620
Weissenstein;1260
Weissfluhjoch;2660
Wengeneralp;1990
Hvide Sande;17
Lyngby;11
Rubjerg Knude;62
Leknes Haugheia;123
Storberget;280
Strandveien;10
Cima di Medeglia;841
